사과__08/NNG	동시/NNG 에/JKB 국내/NNG 각/MM 언론사/NNG 에/JKB 	사과/NNG	성명/NNG 을/JKO 발표/NNG 하/XSV 겠/EP 다는/ETM 약속/NNG 까지/JX 하/VV 았/EP 다/EF ./SF 
사과__08/NNG	그/MM 후/NNG 자정/NNG 을/JKO 넘기/VV ᆫ/ETM 시각/NNG 에/JKB 일본/NNP 측/NNB 은/JX "/SS 	사과/NNG	성명/NNG 은/JX 여러/MM 사정/NNG 으로/JKB 발표/NNG 하/XSV 기/ETN 어렵/VA 다/EC "/SS 는/ETM 내용/NNG 을/JKO 일방/NNG 통보/NNG 하/XSV ᆫ/ETM 채/NNB 모든/MM 것/NNB ᆯ/JKO 마무리/NNG 하/VV 아/EC 
사과__08/NNG	따지/VV ᆯ/ETM 것/NNB 은/JX 따지/VV 고/EC 	사과/NNG	받/VV 을/ETM 것/NNB 은/JX 사과/NNG 받/VV 고/EC 시인/NNG 받/VV 을/ETM 것/NNB 은/JX 시인/NNG 받/VV 은/ETM 다음/NNG 에/JKB "/SS 되/VV 었/EP 다/EF ./SF 
사과__08/NNG	따지/VV ᆯ/ETM 것/NNB 은/JX 따지/VV 고/EC 사과/NNG 받/VV 을/ETM 것/NNB 은/JX 	사과/NNG	받/VV 고/EC 시인/NNG 받/VV 을/ETM 것/NNB 은/JX 시인/NNG 받/VV 은/ETM 다음/NNG 에/JKB "/SS 되/VV 었/EP 다/EF ./SF 
사과__08/NNG	그/MM 동안/NNG 에/JKB 도/JX 방송위/NNG 가/JKS 특정/NNG 방송사/NNG 의/JKG 특정/NNG 프로/NNG 에/JKB 대하/VV 아/EC '/SS 경고/NNG '/SS 또는/MAG '/SS 	사과/NNG	명령/NNG '/SS 을/JKO 수/NNG 없이/MAG 내리/VV 었/EP 으나/EC 거의/MAG 효과/NNG 를/JKO 발휘/NNG 하/XSV 지/EC 못하/VX 았/EP 다/EF ./SF 
사과__05/NNG	헌/MM 책/NNG 을/JKO 교환/NNG 하/XSV 아/EC 주/VX 는/ETM '/SS 고전/NNG 적/XSN 이/VCP ᆫ/ETM 알뜰/NNG 시장/NNG '/SS 의/JKG 형태/NNG 를/JKO 취하/VV 았/EP 고/EC ,/SP 헌책/NNG 과/JC 	사과/NNG	또는/MAG 오이/NNG 바꾸/VV 어/EC 주/VX 기/ETN 등/NNB '/SS 독서/NNG 와/JC 환경/NNG 과/JC 농촌/NNG 돕/VV 기/ETN 의/JKG 결합/NNG 형/XSN '/SS (/SS 롯데백화점/NNP )/SS 도/JX 등장/NNG 하/XSV 
사과__08/NNG	월/NNB 미감/NNG 아들/NNG 의/JKG 전학/NNG 거부/NNG 사건/NNG 을/JKO 다루/VV ᆫ/ETM KBS/SL 1/SN TV/SL 문예극장/NNP '/SS 미개인/NNP '/SS 도/JX 관련자/NNG 들/XSN 의/JKG 항의/NNG 로/JKB 불방/NNG 또는/MAG 	사과/NNG	방송/NNG 을/JKO 내/VV 는/ETM 등/NNB 최근/NNG 1/SN 년/NNB 새/NNG 굵직/XR 하/XSA ᆫ/ETM 사안/NNG 만/JX 도/JX 3/SN ∼/SO 4/SN 차례/NNG 나/JX 되/VV ᆫ다/EF ./SF 
사과__05/NNG	서양/NNG 에/JKB 만/JX 젤리/NNG 가/JKS 있/VV 는/ETM 것/NNB 이/JKC 아니/VCN 라/EC 우리/NP 나라/NNG 에서/JKB 도/JX 앵두/NNG 	사과/NNG	모과/NNG 살구/NNG 같/VA 은/ETM 과일/NNG 로/JKB '/SS 과편/NNG '/SS 을/JKO 만들/VV 어/EC 먹/VV 었/EP 지만/EC 수박/NNG 은/JX 물기/NNG 가/JKS 너무/MAG 많/VA 고/EC 펙틴질/NNG 이/JKS 없/VA 
사과__05/NNG	유정숙/NNP 회장/NNG (/SS 33/SN )/SS 을/JKO 중심/NNG 으로/JKB 기금/NNG 마련/NNG 에/JKB 나서/VV ᆫ/ETM 회원/NNG 들/XSN 은/JX 	사과/NNG	,/SP 떡국/NNG 장사/NNG 를/JKO 비롯/XR ,/SP 학용품/NNG 판매/NNG ,/SP 수박/NNG 공동/NNG 재배/NNG 등/NNB 의/JKG 사업/NNG 을/JKO 벌이/VV ᆫ/ETM 것/NNB 은/JX 물론/MAG 마을/NNG 곳곳/NNG 에/JKB 흩어지/VV 
사과__08/NNG	1993/SN //SP 02/SN //SP 05/SN 05/SN 다큐멘터리/NNG 조작/NNG 물의/NNG //SP NHK/SL 	사과/NNG	방송/NNG 일본/NNP NHK/SL TV/SL 다큐멘터리/NNG 프로그램/NNG '/SS 오지/NNG 히말라야/NNP ,/SP 금단/NNG 의/JKG 왕국/NNG 무스탐/NNP '/SS 의/JKG 조작/NNG 촬영/NNG 문제/NNG 와/JKB 관련/NNG ,/SP NHK/SL 는/JX 4/SN 
사과__08/NNG	무스탐/NNP '/SS 의/JKG 조작/NNG 촬영/NNG 문제/NNG 와/JKB 관련/NNG ,/SP NHK/SL 는/JX 4/SN 일/NNB 오후/NNG 6/SN 시/NNB 57/SN 분/NNB 부터/JX 3/SN 분/NNB 동안/NNG 이례/NNG 적/XSN 으로/JKB 	사과/NNG	방송/NNG 을/JKO 하/VV 았/EP 다/EF ./SF 
